postal code,city,statecode,county,latitude,longitude
32187,San Mateo,FL,Putnam,29.5888,-81.5921
32189,Satsuma,FL,Putnam,29.5594,-81.6406
32190,Seville,FL,Volusia,29.3201,-81.5279
32192,Sparr,FL,Marion,29.3268,-82.1046
32193,Welaka,FL,Putnam,29.4905,-81.653
32195,Weirsdale,FL,Marion,28.9782,-81.8932
32198,Daytona Beach,FL,Volusia,29.2108,-81.0228
32201,Jacksonville,FL,Duval,30.3894,-81.6808
32202,Jacksonville,FL,Duval,30.3299,-81.6517
32203,Jacksonville,FL,Duval,30.3228,-81.547
32204,Jacksonville,FL,Duval,30.3189,-81.6854
32205,Jacksonville,FL,Duval,30.3172,-81.722
32206,Jacksonville,FL,Duval,30.3511,-81.6488
32207,Jacksonville,FL,Duval,30.2908,-81.6321
32208,Jacksonville,FL,Duval,30.3937,-81.6889
32209,Jacksonville,FL,Duval,30.3584,-81.692
32210,Jacksonville,FL,Duval,30.2687,-81.7473
32211,Jacksonville,FL,Duval,30.348,-81.5882
32212,Jacksonville,FL,Duval,30.2132,-81.69
32214,Jacksonville,FL,Duval,30.3449,-81.6831
32216,Jacksonville,FL,Duval,30.2787,-81.5831
32217,Jacksonville,FL,Duval,30.2407,-81.617
32218,Jacksonville,FL,Duval,30.4507,-81.6626
32219,Jacksonville,FL,Duval,30.4034,-81.7635
32220,Jacksonville,FL,Duval,30.329,-81.8176
32221,Jacksonville,FL,Duval,30.2837,-81.8202
32222,Jacksonville,FL,Duval,30.2292,-81.8131
32223,Jacksonville,FL,Duval,30.1548,-81.63
32224,Jacksonville,FL,Duval,30.3031,-81.4404
32225,Jacksonville,FL,Duval,30.351,-81.5061
32226,Jacksonville,FL,Duval,30.4735,-81.5448
32227,Jacksonville,FL,Duval,30.3802,-81.416
32228,Jacksonville,FL,Duval,30.3824,-81.4369
32229,Jacksonville,FL,Duval,30.3449,-81.6831
32231,Jacksonville,FL,Duval,30.3449,-81.6831
32232,Jacksonville,FL,Duval,30.3449,-81.6831
32233,Atlantic Beach,FL,Duval,30.3483,-81.4159
32234,Jacksonville,FL,Duval,30.2757,-81.9686
32235,Jacksonville,FL,Duval,30.3449,-81.6831
32236,Jacksonville,FL,Duval,30.3449,-81.6831
32237,Jacksonville,FL,Duval,30.3449,-81.6831
32238,Jacksonville,FL,Duval,30.3449,-81.6831
32239,Jacksonville,FL,Duval,30.3449,-81.6831
32240,Jacksonville Beach,FL,Duval,30.2947,-81.3931
32241,Jacksonville,FL,Duval,30.3449,-81.6831
32244,Jacksonville,FL,Duval,30.2231,-81.7556
32245,Jacksonville,FL,Duval,30.3449,-81.6831
32246,Jacksonville,FL,Duval,30.2933,-81.5092
32247,Jacksonville,FL,Duval,30.3449,-81.6831
32250,Jacksonville Beach,FL,Duval,30.2801,-81.4165
32254,Jacksonville,FL,Duval,30.3415,-81.7358
32255,Jacksonville,FL,Duval,30.3322,-81.6557
32256,Jacksonville,FL,Duval,30.2214,-81.5571
32257,Jacksonville,FL,Duval,30.1927,-81.605
32258,Jacksonville,FL,Duval,30.1459,-81.5739
32259,Saint Johns,FL,Saint Johns,30.0815,-81.5477
32260,Jacksonville,FL,Saint Johns,29.9377,-81.4206
32266,Neptune Beach,FL,Duval,30.3155,-81.4051
32277,Jacksonville,FL,Duval,30.3704,-81.5864
32301,Tallahassee,FL,Leon,30.4286,-84.2593
32302,Tallahassee,FL,Leon,30.4383,-84.2807
32303,Tallahassee,FL,Leon,30.4874,-84.3189
32304,Tallahassee,FL,Leon,30.4478,-84.3211
32305,Tallahassee,FL,Leon,30.334,-84.287
32306,Tallahassee,FL,Leon,30.4425,-84.2986
32307,Tallahassee,FL,Leon,30.4257,-84.2877
32308,Tallahassee,FL,Leon,30.4771,-84.2246
32309,Tallahassee,FL,Leon,30.5422,-84.1413
32310,Tallahassee,FL,Leon,30.3991,-84.3298
32311,Tallahassee,FL,Leon,30.4156,-84.187
32312,Tallahassee,FL,Leon,30.5185,-84.2627
32313,Tallahassee,FL,Leon,30.4793,-84.3462
32314,Tallahassee,FL,Leon,30.4793,-84.3462
32315,Tallahassee,FL,Leon,30.4793,-84.3462
32316,Tallahassee,FL,Leon,30.4793,-84.3462
32317,Tallahassee,FL,Leon,30.4651,-84.1128
32318,Tallahassee,FL,Franklin,30.4383,-84.2807
32320,Apalachicola,FL,Franklin,29.7255,-85.0063
32321,Bristol,FL,Liberty,30.4223,-84.9466
32322,Carrabelle,FL,Franklin,29.8692,-84.6358
32323,Lanark Village,FL,Franklin,29.8826,-84.5964
32324,Chattahoochee,FL,Gadsden,30.6834,-84.828
32326,Crawfordville,FL,Wakulla,30.176,-84.3752
32327,Crawfordville,FL,Wakulla,30.2108,-84.3205
32328,Eastpoint,FL,Franklin,29.7495,-84.8162
32329,Apalachicola,FL,Franklin,29.726,-84.9856
32330,Greensboro,FL,Gadsden,30.5696,-84.7453
32331,Greenville,FL,Madison,30.4512,-83.6474
32332,Gretna,FL,Gadsden,30.6171,-84.6599
32333,Havana,FL,Gadsden,30.6092,-84.4143
32334,Hosford,FL,Liberty,30.3639,-84.8054
32335,Sumatra,FL,Liberty,30.0206,-84.9806
32336,Lamont,FL,Jefferson,30.3772,-83.8129
32337,Lloyd,FL,Jefferson,30.4778,-84.0228
32340,Madison,FL,Madison,30.4802,-83.4067
32341,Madison,FL,Madison,30.4776,-83.3914
32343,Midway,FL,Gadsden,30.485,-84.4768
32344,Monticello,FL,Jefferson,30.5197,-83.8925
32345,Monticello,FL,Jefferson,30.5451,-83.8713
32346,Panacea,FL,Wakulla,30.0153,-84.3912
32347,Perry,FL,Taylor,30.1668,-83.616
32348,Perry,FL,Taylor,29.9665,-83.6594
32350,Pinetta,FL,Madison,30.5997,-83.3405
32351,Quincy,FL,Gadsden,30.5867,-84.6094
32352,Quincy,FL,Gadsden,30.6512,-84.5866
32353,Quincy,FL,Gadsden,30.5497,-84.6069
32355,Saint Marks,FL,Wakulla,30.1631,-84.2083
32356,Salem,FL,Taylor,29.8539,-83.4421
32357,Shady Grove,FL,Taylor,30.288,-83.6318
32358,Sopchoppy,FL,Wakulla,30.0714,-84.4549
32359,Steinhatchee,FL,Taylor,29.6739,-83.3723
32360,Telogia,FL,Liberty,30.3511,-84.8203
32361,Wacissa,FL,Jefferson,30.3585,-83.9871
32362,Woodville,FL,Leon,30.3193,-84.2674
32395,Tallahassee,FL,Leon,30.4793,-84.3462
32399,Tallahassee,FL,Leon,30.4383,-84.2807
32401,Panama City,FL,Bay,30.1606,-85.6494
32402,Panama City,FL,Bay,30.2345,-85.692
32403,Panama City,FL,Bay,30.0583,-85.5762
32404,Panama City,FL,Bay,30.1653,-85.5763
32405,Panama City,FL,Bay,30.1949,-85.6727
32406,Panama City,FL,Bay,30.2345,-85.692
32407,Panama City Beach,FL,Bay,30.2007,-85.8136
32408,Panama City,FL,Bay,30.1655,-85.7116
32409,Panama City,FL,Bay,30.3117,-85.6923
32410,Mexico Beach,FL,Bay,29.9395,-85.4096
32411,Panama City,FL,Bay,30.2345,-85.692
32412,Panama City,FL,Bay,30.2345,-85.692
32413,Panama City Beach,FL,Bay,30.3105,-85.9106
32417,Panama City,FL,Bay,30.1595,-85.6598
32420,Alford,FL,Jackson,30.6412,-85.3756
32421,Altha,FL,Calhoun,30.5319,-85.1704
32422,Argyle,FL,Walton,30.7056,-86.0314
32423,Bascom,FL,Jackson,30.9514,-85.0972
32424,Blountstown,FL,Calhoun,30.4394,-85.062
32425,Bonifay,FL,Holmes,30.8464,-85.69
32426,Campbellton,FL,Jackson,30.9563,-85.3766
32427,Caryville,FL,Washington,30.7123,-85.8014
32428,Chipley,FL,Washington,30.7107,-85.5486
32430,Clarksville,FL,Calhoun,30.3568,-85.1898
32431,Cottondale,FL,Jackson,30.8004,-85.3847
32432,Cypress,FL,Jackson,30.7158,-85.0784
32433,Defuniak Springs,FL,Walton,30.8494,-86.2023
32434,Mossy Head,FL,Walton,30.7432,-86.3149
32435,Defuniak Springs,FL,Walton,30.721,-86.1152
32437,Ebro,FL,Washington,30.4352,-85.8881
32438,Fountain,FL,Bay,30.4753,-85.4293
32439,Freeport,FL,Walton,30.4896,-86.1684
32440,Graceville,FL,Jackson,30.9426,-85.5136
32442,Grand Ridge,FL,Jackson,30.7148,-85.021
32443,Greenwood,FL,Jackson,30.8667,-85.1153
32444,Lynn Haven,FL,Bay,30.2362,-85.6467
32445,Malone,FL,Jackson,30.9602,-85.1639
32446,Marianna,FL,Jackson,30.7996,-85.2293
32447,Marianna,FL,Jackson,30.7603,-85.2022
32448,Marianna,FL,Jackson,30.6749,-85.2122
32449,Wewahitchka,FL,Calhoun,30.4059,-85.1974
32452,Noma,FL,Holmes,30.9821,-85.6185
32455,Ponce De Leon,FL,Holmes,30.7041,-85.9546
32456,Port Saint Joe,FL,Gulf,29.8119,-85.303
32457,Port Saint Joe,FL,Gulf,29.8119,-85.303
32459,Santa Rosa Beach,FL,Walton,30.3659,-86.2458
32460,Sneads,FL,Jackson,30.7276,-84.9337
32461,Rosemary Beach,FL,Walton,30.2835,-86.0305
32462,Vernon,FL,Washington,30.6267,-85.7553
32463,Wausau,FL,Washington,30.6321,-85.5888
32464,Westville,FL,Holmes,30.8747,-85.913
32465,Wewahitchka,FL,Gulf,30.0933,-85.2048
32466,Youngstown,FL,Bay,30.3269,-85.5169
32501,Pensacola,FL,Escambia,30.4223,-87.2248
32502,Pensacola,FL,Escambia,30.4095,-87.2229
32503,Pensacola,FL,Escambia,30.4564,-87.2104
32504,Pensacola,FL,Escambia,30.4873,-87.1872
32505,Pensacola,FL,Escambia,30.4481,-87.2589
32506,Pensacola,FL,Escambia,30.4129,-87.3092
32507,Pensacola,FL,Escambia,30.3737,-87.3126
32508,Pensacola,FL,Escambia,30.3511,-87.2749
32509,Pensacola,FL,Escambia,30.4643,-87.3403
32511,Pensacola,FL,Escambia,30.4061,-87.2917
32512,Pensacola,FL,Escambia,30.3943,-87.2991
32513,Pensacola,FL,Escambia,30.5571,-87.2596
32514,Pensacola,FL,Escambia,30.5241,-87.2167
32516,Pensacola,FL,Escambia,30.4213,-87.2169
32520,Pensacola,FL,Escambia,30.4124,-87.2035
32521,Pensacola,FL,Escambia,30.4213,-87.2169
32522,Pensacola,FL,Escambia,30.4213,-87.2169
32523,Pensacola,FL,Escambia,30.4213,-87.2169
32524,Pensacola,FL,Escambia,30.4213,-87.2169
32526,Pensacola,FL,Escambia,30.4756,-87.3179
32530,Bagdad,FL,Santa Rosa,30.5986,-87.0315
32531,Baker,FL,Okaloosa,30.8316,-86.677
32533,Cantonment,FL,Escambia,30.6143,-87.3251
32534,Pensacola,FL,Escambia,30.5301,-87.2793
32535,Century,FL,Escambia,30.9687,-87.3216
32536,Crestview,FL,Okaloosa,30.7644,-86.5917
32537,Milligan,FL,Okaloosa,30.742,-86.6552
32538,Paxton,FL,Walton,30.9709,-86.3111
32539,Crestview,FL,Okaloosa,30.7773,-86.4832
32540,Destin,FL,Okaloosa,30.3935,-86.4958
32541,Destin,FL,Okaloosa,30.3949,-86.4692
32542,Eglin Afb,FL,Okaloosa,30.5393,-86.6087
32544,Hurlburt Field,FL,Okaloosa,30.4229,-86.6985
32547,Fort Walton Beach,FL,Okaloosa,30.4487,-86.6255
32548,Fort Walton Beach,FL,Okaloosa,30.4206,-86.6286
32549,Fort Walton Beach,FL,Okaloosa,30.4208,-86.6194
32550,Miramar Beach,FL,Walton,30.385,-86.3473
32559,Pensacola,FL,Escambia,30.3563,-87.2773
32560,Gonzalez,FL,Escambia,30.5818,-87.2929
32561,Gulf Breeze,FL,Santa Rosa,30.3571,-87.1639
32562,Gulf Breeze,FL,Santa Rosa,30.3571,-87.1639
32563,Gulf Breeze,FL,Santa Rosa,30.3962,-87.0274
32564,Holt,FL,Okaloosa,30.7416,-86.7198
32565,Jay,FL,Santa Rosa,30.8985,-87.1332
32566,Navarre,FL,Santa Rosa,30.4212,-86.8926
32567,Laurel Hill,FL,Okaloosa,30.9524,-86.4003
32568,Mc David,FL,Escambia,30.8686,-87.4539
32569,Mary Esther,FL,Okaloosa,30.4085,-86.7352
32570,Milton,FL,Santa Rosa,30.6604,-87.0473
32571,Milton,FL,Santa Rosa,30.6698,-87.1794
32572,Milton,FL,Santa Rosa,30.6592,-87.0497
32577,Molino,FL,Escambia,30.6902,-87.3852
32578,Niceville,FL,Okaloosa,30.5169,-86.4822
32579,Shalimar,FL,Okaloosa,30.4456,-86.5717
32580,Valparaiso,FL,Okaloosa,30.5092,-86.5009
32583,Milton,FL,Santa Rosa,30.5761,-87.0663
32588,Niceville,FL,Okaloosa,30.6612,-86.5945
32591,Pensacola,FL,Escambia,30.4213,-87.2169
32601,Gainesville,FL,Alachua,29.6489,-82.325
32602,Gainesville,FL,Alachua,29.6299,-82.3966
32603,Gainesville,FL,Alachua,29.6515,-82.3493
32604,Gainesville,FL,Alachua,29.5733,-82.3979
32605,Gainesville,FL,Alachua,29.6785,-82.3679
32606,Gainesville,FL,Alachua,29.6954,-82.4023
32607,Gainesville,FL,Alachua,29.6456,-82.4033
32608,Gainesville,FL,Alachua,29.6132,-82.3873
32609,Gainesville,FL,Alachua,29.7005,-82.308
32610,Gainesville,FL,Alachua,29.6813,-82.3539
32611,Gainesville,FL,Alachua,29.6813,-82.3539
32612,Gainesville,FL,Alachua,29.6813,-82.3539
32614,Gainesville,FL,Alachua,29.6813,-82.3539
32615,Alachua,FL,Alachua,29.8135,-82.472
32616,Alachua,FL,Alachua,29.792,-82.496
32617,Anthony,FL,Marion,29.3048,-82.1262
32618,Archer,FL,Alachua,29.5597,-82.5108
32619,Bell,FL,Gilchrist,29.7837,-82.8711
32621,Bronson,FL,Levy,29.461,-82.6356
32622,Brooker,FL,Bradford,29.919,-82.2956
32625,Cedar Key,FL,Levy,29.171,-83.0168
32626,Chiefland,FL,Levy,29.4832,-82.8809
32627,Gainesville,FL,Alachua,29.6516,-82.3248
32628,Cross City,FL,Dixie,29.6372,-83.2032
32631,Earleton,FL,Alachua,29.7439,-82.1034
32633,Evinston,FL,Alachua,29.4869,-82.2312
32634,Fairfield,FL,Marion,29.3509,-82.2765
32635,Gainesville,FL,Alachua,29.6813,-82.3539
32639,Gulf Hammock,FL,Levy,29.2447,-82.7402
32640,Hawthorne,FL,Alachua,29.574,-82.1056
32641,Gainesville,FL,Alachua,29.6824,-82.2014
32643,High Springs,FL,Alachua,29.841,-82.6156
32644,Chiefland,FL,Levy,29.4602,-82.8553
32648,Horseshoe Beach,FL,Dixie,29.4869,-83.2616
32653,Gainesville,FL,Alachua,29.7728,-82.3782
32654,Island Grove,FL,Alachua,29.4536,-82.1065
32655,High Springs,FL,Alachua,29.8175,-82.6006
32656,Keystone Heights,FL,Clay,29.7976,-81.9899
32658,La Crosse,FL,Alachua,29.8433,-82.4048
32662,Lochloosa,FL,Alachua,29.5116,-82.1004
32663,Lowell,FL,Marion,29.3424,-82.2126
32664,Mc Intosh,FL,Marion,29.438,-82.2295
32666,Melrose,FL,Putnam,29.7325,-82.0279
32667,Micanopy,FL,Alachua,29.5122,-82.3053
32668,Morriston,FL,Levy,29.2813,-82.4917
32669,Newberry,FL,Alachua,29.6609,-82.5852
32680,Old Town,FL,Dixie,29.6699,-83.005
32681,Orange Lake,FL,Marion,29.4236,-82.2168
32683,Otter Creek,FL,Levy,29.3109,-82.7945
32686,Reddick,FL,Marion,29.3754,-82.244
32692,Suwannee,FL,Dixie,29.3295,-83.14
32693,Trenton,FL,Gilchrist,29.6133,-82.8176
32694,Waldo,FL,Alachua,29.7871,-82.1608
32696,Williston,FL,Levy,29.3977,-82.4856
32697,Worthington Springs,FL,Union,29.9315,-82.4255
32701,Altamonte Springs,FL,Seminole,28.6666,-81.365
32702,Altoona,FL,Lake,29.0219,-81.6323
32703,Apopka,FL,Orange,28.6354,-81.4888
32704,Apopka,FL,Orange,28.6762,-81.5119
32706,Cassadaga,FL,Volusia,28.9664,-81.2371
32707,Casselberry,FL,Seminole,28.6617,-81.3122
32708,Winter Springs,FL,Seminole,28.6831,-81.2814
32709,Christmas,FL,Orange,28.5462,-81.0116
32710,Clarcona,FL,Orange,28.6128,-81.4987
32712,Apopka,FL,Orange,28.712,-81.5136
32713,Debary,FL,Volusia,28.8846,-81.3065
32714,Altamonte Springs,FL,Seminole,28.6625,-81.4117
32715,Altamonte Springs,FL,Seminole,28.6611,-81.3656
32716,Altamonte Springs,FL,Seminole,28.7448,-81.2233
32718,Casselberry,FL,Seminole,28.7448,-81.2233
32719,Winter Springs,FL,Seminole,28.7448,-81.2233
32720,Deland,FL,Volusia,29.0266,-81.3349
32721,Deland,FL,Volusia,28.9973,-81.2995
32722,Glenwood,FL,Volusia,29.0861,-81.3542
32723,Deland,FL,Volusia,29.0275,-81.3068
32724,Deland,FL,Volusia,29.0422,-81.2863
32725,Deltona,FL,Volusia,28.8989,-81.2473
32726,Eustis,FL,Lake,28.855,-81.6789
32727,Eustis,FL,Lake,28.8555,-81.6741
32728,Deltona,FL,Volusia,29.0227,-81.1722
32730,Casselberry,FL,Seminole,28.6513,-81.3418
32732,Geneva,FL,Seminole,28.7503,-81.1114
32733,Goldenrod,FL,Seminole,28.6133,-81.2581
32735,Grand Island,FL,Lake,28.8866,-81.7391
32736,Eustis,FL,Lake,28.9102,-81.5235
32738,Deltona,FL,Volusia,28.9093,-81.1922
32739,Deltona,FL,Volusia,29.0227,-81.1722
32744,Lake Helen,FL,Volusia,28.9806,-81.2334
32745,Mid Florida,FL,Volusia,28.7676,-81.3522
32746,Lake Mary,FL,Seminole,28.7577,-81.3508
32747,Lake Monroe,FL,Seminole,28.8272,-81.3329
32750,Longwood,FL,Seminole,28.712,-81.3552
32751,Maitland,FL,Orange,28.6255,-81.3646
32752,Longwood,FL,Seminole,28.7448,-81.2233
32753,Debary,FL,Jefferson,28.883,-81.3087
32754,Mims,FL,Brevard,28.6974,-80.8663
32756,Mount Dora,FL,Lake,28.8111,-81.6536
32757,Mount Dora,FL,Lake,28.774,-81.6439
32759,Oak Hill,FL,Volusia,28.87,-80.8551
32762,Oviedo,FL,Seminole,28.7448,-81.2233
32763,Orange City,FL,Volusia,28.9453,-81.2995
32764,Osteen,FL,Volusia,28.8426,-81.1562
32765,Oviedo,FL,Seminole,28.6513,-81.2066
32766,Oviedo,FL,Seminole,28.6607,-81.1134
32767,Paisley,FL,Lake,28.9993,-81.503
32768,Plymouth,FL,Orange,28.6985,-81.5698
32771,Sanford,FL,Seminole,28.8013,-81.285
32772,Sanford,FL,Seminole,28.8072,-81.2502
32773,Sanford,FL,Seminole,28.7644,-81.282
32774,Orange City,FL,Volusia,28.9489,-81.2987
32775,Scottsmoor,FL,Brevard,28.7702,-80.872
32776,Sorrento,FL,Lake,28.8035,-81.5323
32777,Tangerine,FL,Orange,28.765,-81.6306
32778,Tavares,FL,Lake,28.801,-81.734
32779,Longwood,FL,Seminole,28.7168,-81.4126
32780,Titusville,FL,Brevard,28.5697,-80.8191
32781,Titusville,FL,Brevard,28.6122,-80.8076
32783,Titusville,FL,Brevard,28.6122,-80.8076
32784,Umatilla,FL,Lake,28.9254,-81.6801
32789,Winter Park,FL,Orange,28.5978,-81.3534
32790,Winter Park,FL,Orange,28.5663,-81.2608
32791,Longwood,FL,Seminole,28.7448,-81.2233
32792,Winter Park,FL,Orange,28.5974,-81.3036
32793,Winter Park,FL,Orange,28.5663,-81.2608
32794,Maitland,FL,Orange,28.6278,-81.3631
32795,Lake Mary,FL,Seminole,28.7448,-81.2233
32796,Titusville,FL,Brevard,28.6271,-80.8429
32798,Zellwood,FL,Orange,28.7194,-81.5762
32799,Mid Florida,FL,Seminole,28.7448,-81.2233
32801,Orlando,FL,Orange,28.5399,-81.3727
32802,Orlando,FL,Orange,28.5383,-81.3792
32803,Orlando,FL,Orange,28.5559,-81.3535
32804,Orlando,FL,Orange,28.5754,-81.3955
32805,Orlando,FL,Orange,28.5302,-81.4045
32806,Orlando,FL,Orange,28.514,-81.357
32807,Orlando,FL,Orange,28.5515,-81.3051
32808,Orlando,FL,Orange,28.5803,-81.4396
32809,Orlando,FL,Orange,28.4637,-81.3948
32810,Orlando,FL,Orange,28.6214,-81.4294
32811,Orlando,FL,Orange,28.5163,-81.4516
32812,Orlando,FL,Orange,28.4998,-81.3288
32814,Orlando,FL,Orange,28.5702,-81.3265
32815,Orlando,FL,Brevard,28.3067,-80.6862
32816,Orlando,FL,Orange,28.5663,-81.2608
32817,Orlando,FL,Orange,28.5891,-81.2277
32818,Orlando,FL,Orange,28.5801,-81.4846
32819,Orlando,FL,Orange,28.4522,-81.4678
32820,Orlando,FL,Orange,28.5725,-81.1219
32821,Orlando,FL,Orange,28.3957,-81.4666
32822,Orlando,FL,Orange,28.4944,-81.2902
32824,Orlando,FL,Orange,28.3932,-81.3622
32825,Orlando,FL,Orange,28.5469,-81.2571
32826,Orlando,FL,Orange,28.5826,-81.1907
